Location Names,Pan de Azucar Pte. R-9,Pan de Azucar Pte. R-9
Location Ids,71.0,71.0
Time,H.obs,Q.obs
2022-09-03 02:00:00,0.89,5.38
2022-09-03 02:30:00,0.88,5.18
2022-09-03 03:00:00,0.88,5.18
2022-09-03 03:30:00,0.87,4.99
2022-09-03 04:00:00,0.87,4.99
2022-09-03 04:30:00,0.87,4.99
2022-09-03 05:00:00,0.86,4.8
2022-09-03 05:30:00,0.86,4.8
2022-09-03 06:00:00,0.86,4.8
2022-09-03 06:30:00,0.86,4.8
2022-09-03 07:00:00,0.85,4.61
2022-09-03 07:30:00,0.85,4.61
2022-09-03 08:00:00,0.85,4.61
2022-09-03 08:30:00,0.85,4.61
2022-09-03 09:00:00,0.85,4.61
2022-09-03 09:30:00,0.85,4.61
2022-09-03 10:00:00,0.84,4.43
2022-09-03 10:30:00,0.84,4.43
2022-09-03 11:00:00,0.84,4.43
2022-09-03 11:30:00,0.84,4.43
2022-09-03 12:00:00,0.84,4.43
2022-09-03 12:30:00,0.84,4.43
2022-09-03 13:00:00,0.84,4.43
2022-09-03 13:30:00,0.84,4.43
2022-09-03 14:00:00,0.84,4.43
2022-09-03 14:30:00,0.84,4.43
2022-09-03 15:00:00,0.84,4.43
2022-09-03 15:30:00,0.84,4.43
2022-09-03 16:00:00,0.84,4.43
2022-09-03 16:30:00,0.84,4.43
2022-09-03 17:00:00,0.83,4.25
2022-09-03 17:30:00,0.84,4.43
2022-09-03 18:00:00,0.83,4.25
2022-09-03 18:30:00,0.83,4.25
2022-09-03 19:00:00,0.83,4.25
2022-09-03 19:30:00,0.83,4.25
2022-09-03 20:00:00,0.83,4.25
2022-09-03 20:30:00,0.83,4.25
2022-09-03 21:00:00,0.83,4.25
2022-09-03 21:30:00,0.83,4.25
2022-09-03 22:00:00,0.83,4.25
2022-09-03 22:30:00,0.83,4.25
2022-09-03 23:00:00,0.83,4.25
2022-09-03 23:30:00,0.83,4.25
2022-09-04 00:00:00,0.83,4.25
2022-09-04 00:30:00,0.82,4.08
2022-09-04 01:00:00,0.82,4.08
2022-09-04 01:30:00,0.82,4.08
2022-09-04 02:00:00,0.82,4.08
2022-09-04 02:30:00,0.82,4.08
2022-09-04 03:00:00,0.82,4.08
2022-09-04 03:30:00,0.82,4.08
2022-09-04 04:00:00,0.82,4.08
2022-09-04 04:30:00,0.81,3.91
2022-09-04 05:00:00,0.81,3.91
2022-09-04 05:30:00,0.81,3.91
2022-09-04 06:00:00,0.81,3.91
2022-09-04 06:30:00,0.81,3.91
2022-09-04 07:00:00,0.81,3.91
2022-09-04 07:30:00,0.81,3.91
2022-09-04 08:00:00,0.81,3.91
2022-09-04 08:30:00,0.81,3.91
2022-09-04 09:00:00,0.8,3.74
2022-09-04 09:30:00,0.8,3.74
2022-09-04 10:00:00,0.8,3.74
2022-09-04 10:30:00,0.8,3.74
2022-09-04 11:00:00,0.8,3.74
2022-09-04 11:30:00,0.8,3.74
2022-09-04 12:00:00,0.8,3.74
2022-09-04 12:30:00,0.81,3.91
2022-09-04 13:00:00,0.8,3.74
2022-09-04 13:30:00,0.81,3.91
2022-09-04 14:00:00,0.81,3.91
2022-09-04 14:30:00,0.81,3.91
2022-09-04 15:00:00,0.81,3.91
2022-09-04 15:30:00,0.81,3.91
2022-09-04 16:00:00,0.81,3.91
2022-09-04 16:30:00,0.81,3.91
2022-09-04 17:00:00,0.8,3.74
2022-09-04 17:30:00,0.8,3.74
2022-09-04 18:00:00,0.8,3.74
2022-09-04 18:30:00,0.8,3.74
2022-09-04 19:00:00,0.8,3.74
2022-09-04 19:30:00,0.8,3.74
2022-09-04 20:00:00,0.8,3.74
2022-09-04 20:30:00,0.8,3.74
2022-09-04 21:00:00,0.8,3.74
2022-09-04 21:30:00,0.8,3.74
2022-09-04 22:00:00,0.8,3.74
2022-09-04 22:30:00,0.8,3.74
2022-09-04 23:00:00,0.8,3.74
2022-09-04 23:30:00,0.8,3.74
2022-09-05 00:00:00,0.8,3.74
2022-09-05 00:30:00,0.8,3.74
2022-09-05 01:00:00,0.79,3.58
2022-09-05 01:30:00,0.79,3.58
2022-09-05 02:00:00,0.79,3.58
2022-09-05 02:30:00,0.79,3.58
2022-09-05 03:00:00,0.79,3.58
2022-09-05 03:30:00,0.79,3.58
2022-09-05 04:00:00,0.79,3.58
2022-09-05 04:30:00,0.79,3.58
2022-09-05 05:00:00,0.79,3.58
2022-09-05 05:30:00,0.78,3.42
2022-09-05 06:00:00,0.79,3.58
2022-09-05 06:30:00,0.78,3.42
2022-09-05 07:00:00,0.78,3.42
2022-09-05 07:30:00,0.78,3.42
2022-09-05 08:00:00,0.78,3.42
2022-09-05 08:30:00,0.78,3.42
2022-09-05 09:00:00,0.78,3.42
2022-09-05 09:30:00,0.78,3.42
2022-09-05 10:00:00,0.78,3.42
2022-09-05 10:30:00,0.78,3.42
2022-09-05 11:00:00,0.78,3.42
2022-09-05 11:30:00,0.78,3.42
