Location Names,Po. de la Compañía,Po. de la Compañía
Location Ids,61.0,61.0
Time,H.obs,Q.obs
2022-08-20 04:00:00,0.57,2.02
2022-08-20 04:30:00,0.57,2.02
2022-08-20 05:00:00,0.57,2.02
2022-08-20 05:30:00,0.57,2.02
2022-08-20 06:00:00,0.57,2.02
2022-08-20 06:30:00,0.57,2.02
2022-08-20 07:00:00,0.57,2.02
2022-08-20 07:30:00,0.57,2.02
2022-08-20 08:00:00,0.57,2.02
2022-08-20 08:30:00,0.57,2.02
2022-08-20 09:00:00,0.57,2.02
2022-08-20 09:30:00,0.57,2.02
2022-08-20 10:00:00,0.57,2.02
2022-08-20 10:30:00,0.57,2.02
2022-08-20 11:00:00,0.57,2.02
2022-08-20 11:30:00,0.57,2.02
2022-08-20 12:00:00,0.57,2.02
2022-08-20 12:30:00,0.57,2.02
2022-08-20 13:00:00,0.57,2.02
2022-08-20 13:30:00,0.56,1.86
2022-08-20 14:00:00,0.57,2.02
2022-08-20 14:30:00,0.57,2.02
2022-08-20 15:00:00,0.56,1.86
2022-08-20 15:30:00,0.57,2.02
2022-08-20 16:00:00,0.57,2.02
2022-08-20 16:30:00,0.57,2.02
2022-08-20 17:00:00,0.56,1.86
2022-08-20 17:30:00,0.56,1.86
2022-08-20 18:00:00,0.57,2.02
2022-08-20 18:30:00,0.56,1.86
2022-08-20 19:00:00,0.56,1.86
2022-08-20 19:30:00,0.56,1.86
2022-08-20 20:00:00,0.56,1.86
2022-08-20 20:30:00,0.56,1.86
2022-08-20 21:00:00,0.56,1.86
2022-08-20 21:30:00,0.56,1.86
2022-08-20 22:00:00,0.56,1.86
2022-08-20 22:30:00,0.56,1.86
2022-08-20 23:00:00,0.56,1.86
2022-08-20 23:30:00,0.56,1.86
2022-08-21 00:00:00,0.56,1.86
2022-08-21 00:30:00,0.56,1.86
2022-08-21 01:00:00,0.56,1.86
2022-08-21 01:30:00,0.56,1.86
2022-08-21 02:00:00,0.56,1.86
2022-08-21 02:30:00,0.56,1.86
2022-08-21 03:00:00,0.56,1.86
2022-08-21 03:30:00,0.56,1.86
2022-08-21 04:00:00,0.56,1.86
2022-08-21 04:30:00,0.55,1.7
2022-08-21 05:00:00,0.55,1.7
2022-08-21 05:30:00,0.55,1.7
2022-08-21 06:00:00,0.55,1.7
2022-08-21 06:30:00,0.55,1.7
2022-08-21 07:00:00,0.55,1.7
2022-08-21 07:30:00,0.55,1.7
2022-08-21 08:00:00,0.55,1.7
2022-08-21 08:30:00,0.55,1.7
2022-08-21 09:00:00,0.55,1.7
2022-08-21 09:30:00,0.55,1.7
2022-08-21 10:00:00,0.55,1.7
2022-08-21 10:30:00,0.55,1.7
2022-08-21 11:00:00,0.55,1.7
2022-08-21 11:30:00,0.55,1.7
2022-08-21 12:00:00,0.55,1.7
2022-08-21 12:30:00,0.55,1.7
2022-08-21 13:00:00,0.55,1.7
